,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ranking,Fecha
107,Georgia,4.891,1.03,0.47,0.498,0.488,0.032,0.181,108,13/03/2021
108,Algeria,4.887,0.946,0.765,0.552,0.119,0.144,0.12,109,13/03/2021
109,Ukraine,4.875,0.979,0.958,0.517,0.417,0.181,0.01,110,13/03/2021
110,Iraq,4.854,0.91,0.638,0.381,0.302,0.153,0.041,111,13/03/2021
111,Gabon,4.852,1.037,0.707,0.362,0.424,0.058,0.064,112,13/03/2021
112,Burkina Faso,4.834,0.364,0.472,0.179,0.381,0.182,0.122,113,13/03/2021
113,Cambodia,4.83,0.603,0.68,0.426,0.702,0.21,0.061,114,13/03/2021
114,Mozambique,4.794,0.183,0.634,0.196,0.608,0.228,0.163,115,13/03/2021
115,Nigeria,4.759,0.663,0.625,0.051,0.433,0.212,0.039,116,13/03/2021
116,Mali,4.723,0.387,0.59,0.11,0.384,0.164,0.072,117,13/03/2021
117,Iran,4.721,1.03,0.557,0.561,0.275,0.33,0.144,118,13/03/2021
118,Uganda,4.636,0.364,0.718,0.24,0.398,0.267,0.054,119,13/03/2021
119,Liberia,4.625,0.228,0.58,0.253,0.43,0.221,0.057,120,13/03/2021
120,Kenya,4.607,0.603,0.508,0.385,0.483,0.375,0.073,121,13/03/2021
121,Tunisia,4.596,0.919,0.515,0.59,0.334,0.057,0.044,122,13/03/2021
122,Lebanon,4.584,1.045,0.868,0.595,0.175,0.14,0.026,123,13/03/2021
123,Namibia,4.574,0.882,0.801,0.262,0.411,0.091,0.059,124,13/03/2021
124,Palestinian Territories,4.517,0.646,0.819,0.434,0.33,0.082,0.075,125,13/03/2021
125,Myanmar,4.426,0.666,0.713,0.341,0.601,0.52,0.178,126,13/03/2021
126,Jordan,4.395,0.89,0.685,0.583,0.455,0.079,0.15,127,13/03/2021
127,Chad,4.355,0.255,0.353,0.0,0.24,0.215,0.084,128,13/03/2021
128,Sri Lanka,4.325,0.99,0.82,0.593,0.559,0.239,0.049,129,13/03/2021
129,Swaziland,4.308,0.849,0.693,0.074,0.323,0.067,0.147,130,13/03/2021
130,Comoros,4.289,0.488,0.367,0.279,0.202,0.241,0.101,131,13/03/2021
131,Egypt,4.283,0.954,0.647,0.426,0.446,0.069,0.092,132,13/03/2021
132,Ethiopia,4.275,0.37,0.679,0.331,0.451,0.241,0.114,133,13/03/2021
133,Mauritania,4.227,0.666,0.749,0.273,0.218,0.119,0.133,134,13/03/2021
134,Madagascar,4.208,0.266,0.503,0.341,0.207,0.185,0.087,135,13/03/2021
135,Togo,4.107,0.254,0.239,0.203,0.289,0.209,0.107,136,13/03/2021
136,Zambia,4.073,0.528,0.552,0.231,0.487,0.227,0.074,137,13/03/2021
137,Sierra Leone,3.849,0.279,0.377,0.1,0.408,0.243,0.047,138,13/03/2021
138,India,3.819,0.741,0.316,0.383,0.622,0.246,0.106,139,13/03/2021
139,Burundi,3.775,0.0,0.062,0.155,0.298,0.172,0.212,140,13/03/2021
140,Yemen,3.658,0.329,0.831,0.272,0.268,0.092,0.089,141,13/03/2021
141,Tanzania,3.623,0.433,0.54,0.3,0.549,0.307,0.231,142,13/03/2021
142,Haiti,3.615,0.294,0.173,0.227,0.257,0.463,0.139,143,13/03/2021
143,Malawi,3.6,0.113,0.168,0.298,0.484,0.213,0.134,144,13/03/2021
144,Lesotho,3.512,0.451,0.731,0.007,0.405,0.103,0.015,145,13/03/2021
145,Botswana,3.467,1.099,0.724,0.34,0.539,0.027,0.088,146,13/03/2021
146,Rwanda,3.415,0.364,0.202,0.407,0.627,0.227,0.493,147,13/03/2021
147,Zimbabwe,3.145,0.457,0.649,0.243,0.359,0.157,0.075,148,13/03/2021
148,Afghanistan,2.523,0.37,0.0,0.126,0.0,0.122,0.01,149,13/03/2021
